table_name,data_source_name,data_source_credentials,primary_key,watermark,refresh_schedule,partitioning,schema,data_transformation_script,ingestion_type,last_ingestion_date,error_log,incremental_ingestion_type,data_quality_rules,transformation_rules,batch_size,concurrency_level,retry_policy,last_error_timestamp,status,data_validation_script,data_lineage,source_file_format,compression_type,column_level_encryption,schema_evolution,historical_data_retention_policy,source_system_version,data_validation_rules,audit_logs,notification_rules,source_record_count,target_system,data sync type,Data Validation Frequency,Historical Data Handling
Baby,Zoomdog,username/password,key_567,6/26/2004,hourly,date,gender,data_processing.py,incremental,,,hash-based,,merge_table,553,6,backoff time,,,data_validation_script_9.sql,,Parquet,,false,merge data,6 months,,,,,4585,NoSQL Database,,Weekly,Merge
Outdoors,Digitube,username/password,primary_key_345,2/9/2008,weekly,region,gender,data_aggregation.py,full,,,hash-based,,,,9,backoff time,,paused,,,CSV,snappy,true,,30 days,,Verify that password contains at least one uppercase letter,Implemented caching mechanism,,5223,NoSQL Database,,Daily,Merge
Electronics,Eadel,username/password,key_901,1/16/2017,weekly,category,color,data_preprocessing.py,incremental,,,date-based,check_data_integrity,,609,,retry 2,,failed,data_validation_script_2.sql,,CSV,,false,handle column additions,30 days,1.8,Verify that password contains at least one uppercase letter,,,6293,Data Warehouse,Near Real Time,Weekly,Overwrite
Tools,Oyoba,username/password,,,daily,date,employee_id,,incremental,5/11/2024,,hash-based,,add_constraint,,1,retry 1,,active,data_validation_script_7.sql,,JSON,,,handle column additions,6 months,,,,Slack,7826,,,On Ingestion,Append
Tools,Voomm,username/password,primary_key_345,3/29/2010,hourly,,model,data_preprocessing.py,full,,,date-based,,add_constraint,539,9,,,failed,data_validation_script_6.sql,,Parquet,gzip,true,handle column additions,1 year,,,,,5241,NoSQL Database,Near Real Time,On Ingestion,
Outdoors,Dynabox,username/password,,12/27/2013,weekly,region,status,data_preprocessing.py,full,,,hash-based,,add_constraint,,,,,not-active,data_validation_script_3.sql,,JSON,snappy,true,,1 year,4.5.9,Check if quantity is a positive number,,,6681,,Batch,,Overwrite
Industrial,Innojam,username/password,primary_key_123,7/22/2011,weekly,category,product_name,data_wrangling.py,incremental,,,,,change_data_type,860,,retry 1,,paused,data_validation_script_6.sql,,JSON,,true,merge data,30 days,,,Added new feature,,7345,NoSQL Database,,Weekly,
Beauty,Blogtags,token/key,pk_456,5/30/2004,hourly,region,author,,full,,,,,remove_index,400,10,retry 4,,not-active,data_validation_script_9.sql,,CSV,,true,handle column additions,6 months,,Ensure username is at least 6 characters long,,,1662,NoSQL Database,,Hourly,Append
Shoes,Oba,token/key,,6/12/2002,daily,region,date,data_enrichment.py,full,,,,normalize_data,remove_index,354,,,,not-active,,Data compression for storage optimization,Parquet,,true,handle column additions,30 days,,Ensure username is at least 6 characters long,,email,1926,,Real Time,Hourly,Merge
Garden,DabZ,token/key,,,daily,category,director,data_normalization.py,full,,network_error,,,remove_column,,10,,2024-03-13T06:25:03Z,paused,,,Parquet,gzip,true,merge data,6 months,,,,,2916,Data Lake,Near Real Time,Hourly,Overwrite
Tools,Babbleset,username/password,pk_234,7/20/2008,hourly,date,total_amount,data_preprocessing.py,incremental,9/13/2024,,date-based,,remove_index,115,,,2024-04-13T03:22:47Z,failed,data_validation_script_2.sql,,CSV,snappy,false,merge data,30 days,,Validate phone number format,,,6774,,,Weekly,Append
Industrial,Centizu,token/key,primary_key_123,,hourly,category,quantity,data_augmentation.py,full,3/5/2024,,hash-based,validate_data_format,add_constraint,,8,retry 4,2024-02-29T20:09:20Z,not-active,data_validation_script_3.sql,,Parquet,,true,merge data,6 months,,,Updated configuration settings,,8047,,Real Time,,Overwrite
Computers,Skinder,token/key,primary_001,2/4/2021,weekly,region,status,data_wrangling.py,full,1/18/2025,syntax_error,hash-based,validate_data_range,remove_constraint,496,2,retry 4,,failed,,,CSV,,false,handle column additions,1 year,,,,Slack,3746,Data Lake,Batch,On Ingestion,Merge
Games,Babbleopia,token/key,id_001,,daily,category,make,,incremental,,,date-based,,add_column,952,4,retry 1,,paused,data_validation_script_6.sql,,Parquet,,false,merge data,,,,,Slack,5979,Data Warehouse,Batch,Daily,
Clothing,Quinu,username/password,,6/24/2008,daily,category,director,,full,2/25/2024,network_error,,check_data_integrity,,218,8,retry 1,,failed,data_validation_script_10.sql,,CSV,,false,merge data,30 days,,,,Slack,6822,Data Lake,Near Real Time,Hourly,Append
